node	RT_K101E	sensitive
sensitive	0.0	1.0
n71048	9.123488836401118e-05	0.999908765111636
n71049	0.00012193175934333276	0.9998780682406566
n71242	0.00047943547728163485	0.9995205645227184
n71050	0.0001222135828511531	0.9998777864171489
n71226	0.00103248983254315	0.9989675101674568
n71243	0.0006416252347988976	0.9993583747652011
n71274	4.7365704545508656e-05	0.9999526342954544
n71051	0.00012252197676085463	0.9998774780232391
n71219	0.0029360187880384686	0.9970639812119616
n71227	0.0010326302332979748	0.9989673697667021
78768	0.0	1.0
12098	0.0	1.0
n71245	0.0003288168680277674	0.9996711831319722
40782	0.0	1.0
45997	0.0	1.0
n71277	4.945043918012051e-10	0.9999999995054957
35523	0.0	1.0
n71284	0.0016350275062369608	0.9983649724937631
n71289	4.7492720876206756e-05	0.9999525072791238
n71052	0.00012285966228234093	0.9998771403377177
5844	0.0	1.0
705	0.0	1.0
n71221	0.0014270320068506177	0.9985729679931493
n71228	0.002419059455208032	0.997580940544792
38317	0.0	1.0
n71234	0.0010329978523759037	0.9989670021476241
n71246	2.516984950834303e-06	0.9999974830150491
n71251	0.0008277750636080161	0.999172224936392
n71258	0.0004547131198623094	0.9995452868801377
56977	0.0	1.0
26356	0.0	1.0
82651	0.0	1.0
58896	0.0	1.0
59831	0.0	1.0
62538	0.0	1.0
n71286	0.0022215707612300924	0.9977784292387699
86726	0.0	1.0
n71291	0.00018114662797527676	0.9998188533720248
n71053	0.0007412359474444625	0.9992587640525555
n71167	0.0010848068178425283	0.9989151931821575
n71222	3.5309600011582376e-07	0.9999996469039999
5117	0.0	1.0
71625	0.0	1.0
n71230	0.0019743320028375	0.9980256679971625
81349	0.0	1.0
n71236	0.0019180356682419982	0.998081964331758
30093	0.0	1.0
n71248	3.092086177358678e-08	0.9999999690791382
n71252	0.000774905693875022	0.999225094306125
19754	0.0	1.0
n71259	0.0007860302357065503	0.9992139697642934
n71264	0.000886101431266826	0.9991138985687332
13095	0.0	1.0
69304	0.0	1.0
n71292	0.00026826975247550944	0.9997317302475246
n71298	1.3115798394456422e-16	0.9999999999999999
n71054	0.0006461288228402851	0.9993538711771597
n71063	8.79736184159035e-05	0.9999120263815842
n71168	0.00134810012852586	0.9986518998714741
n71201	6.46403010246075e-05	0.9999353596989754
49358	0.0	1.0
23211	0.0	1.0
11248	0.0	1.0
51201	0.0	1.0
n71237	0.003580875278209567	0.9964191247217905
56457	0.0	1.0
68228	0.0	1.0
71636	0.0	1.0
67893	0.0	1.0
n71254	0.0008031588776012696	0.9991968411223987
38672	0.0	1.0
n71261	9.024525212003439e-08	0.9999999097547478
20390	0.0	1.0
84567	0.0	1.0
n71267	1.7314026077278756e-07	0.9999998268597392
35871	0.0	1.0
n71294	0.0002686893978618838	0.9997313106021382
63375	0.0	1.0
80120	0.0	1.0
38124	0.0	1.0
61100	0.0	1.0
n71302	1.778631812985146e-07	0.9999998221368187
n71310	9.686844243393402e-23	1.0
5391	0.0	1.0
6385	0.0	1.0
n71531	1.2763345143916783e-07	0.9999998723665486
n71540	0.00013995770677792575	0.999860042293222
77093	0.0	1.0
10799	0.0	1.0
n71545	5.022386770934345e-05	0.9999497761322906
n71604	7.011171468357131e-05	0.9999298882853165
n71617	0.0017926118015418307	0.9982073881984581
65897	0.0	1.0
n71621	2.6547972757902482e-06	0.9999973452027242
n71631	8.042162450437235e-05	0.9999195783754957
33225	0.0	1.0
60991	0.0	1.0
71945	0.0	1.0
n71643	4.400150216445275e-05	0.9999559984978356
n71647	1.0770592538311224e-11	0.9999999999892294
5952	0.0	1.0
64915	0.0	1.0
n71769	7.698907209417502e-05	0.9999230109279058
38650	0.0	1.0
n71783	2.0147140518096619e-07	0.9999997985285949
n71055	0.0006460170208207574	0.9993539829791793
75826	0.0	1.0
n71064	0.0005742853166505095	0.9994257146833495
n71067	3.956588675893783e-06	0.9999960434113242
11700	0.0	1.0
n71169	0.0015434024720873735	0.9984565975279126
n71193	0.002640961804551633	0.9973590381954484
13577	0.0	1.0
n71203	6.425035721045649e-05	0.9999357496427895
59894	0.0	1.0
13871	0.0	1.0
20796	0.0	1.0
5650	0.0	1.0
87269	0.0	1.0
62381	0.0	1.0
77832	0.0	1.0
n71269	9.68980302591183e-08	0.9999999031019697
67135	0.0	1.0
81003	0.0	1.0
75085	0.0	1.0
n71303	0.0013330893860882664	0.9986669106139118
n71306	7.346170543850673e-09	0.9999999926538294
84797	0.0	1.0
n71311	1.9712163681467825e-05	0.9999802878363185
n71326	6.545591963873124e-08	0.9999999345440804
57710	0.0	1.0
15654	0.0	1.0
12938	0.0	1.0
n71364	2.480005288631548e-09	0.9999999975199947
36682	0.0	1.0
n71447	3.391235645702136e-08	0.9999999660876435
40140	0.0	1.0
21620	0.0	1.0
21911	0.0	1.0
87908	0.0	1.0
1814	0.0	1.0
n71455	6.856565210376397e-08	0.999999931434348
31678	0.0	1.0
n71459	9.238026061656355e-05	0.9999076197393835
n71464	2.1342072138510253e-05	0.9999786579278614
n71477	0.0002007922744699222	0.9997992077255301
n71483	6.093315356933617e-08	0.9999999390668464
59017	0.0	1.0
n71488	0.00018871357662164517	0.9998112864233784
n71503	6.754561796426384e-08	0.9999999324543821
n71517	9.393266006901073e-12	0.9999999999906067
37235	0.0	1.0
48872	0.0	1.0
6851	0.0	1.0
71648	0.0	1.0
n71532	5.039150061353261e-09	0.9999999949608499
n71537	2.208283012526585e-07	0.9999997791716987
16625	0.0	1.0
86284	0.0	1.0
n71546	5.0241284728415706e-05	0.9999497587152717
n71588	0.0001780831123226803	0.9998219168876773
n71605	6.219860934913158e-06	0.999993780139065
114	0.0	1.0
55463	0.0	1.0
76140	0.0	1.0
78420	0.0	1.0
n71623	5.099373541414882e-08	0.9999999490062647
73362	0.0	1.0
32213	0.0	1.0
n71633	0.00020981882926131892	0.9997901811707386
47772	0.0	1.0
77422	0.0	1.0
61544	0.0	1.0
n71648	4.847907765466512e-17	1.0
n71674	0.0009327188261401604	0.9990672811738598
37087	0.0	1.0
n71685	6.0844476573106115e-05	0.9999391555234269
n71770	6.351269428670339e-07	0.9999993648730571
n71778	0.0005709799473202374	0.9994290200526798
33300	0.0	1.0
65780	0.0	1.0
45836	0.0	1.0
n71786	6.517213474285698e-09	0.9999999934827866
n71056	0.00028069136703629845	0.9997193086329637
n71059	0.001594277495282219	0.9984057225047177
36214	0.0	1.0
12004	0.0	1.0
n71068	3.521694002070767e-08	0.99999996478306
n71110	3.971238653289258e-06	0.9999960287613466
n71170	0.0015972914702870923	0.9984027085297129
n71173	0.0019884510396928545	0.9980115489603071
9695	0.0	1.0
n71195	0.0025302968548837896	0.9974697031451163
63081	0.0	1.0
39828	0.0	1.0
n71206	6.450030460377147e-05	0.9999354996953962
1964	0.0	1.0
9667	0.0	1.0
31921	0.0	1.0
69799	0.0	1.0
6800	0.0	1.0
28	0.0	1.0
72627	0.0	1.0
21582	0.0	1.0
n71312	0.0003488731844612713	0.9996511268155387
n71320	2.0129304831424002e-05	0.9999798706951686
68442	0.0	1.0
13033	0.0	1.0
n71327	2.386963750848961e-07	0.9999997613036249
n71338	0.0007875297113108335	0.9992124702886891
55267	0.0	1.0
n71348	1.5427382218518796e-06	0.999998457261778
n71358	7.614439218844092e-08	0.9999999238556079
n71365	6.581317491753972e-05	0.9999341868250824
n71381	4.415773456345103e-08	0.9999999558422654
n71431	0.001393100455415845	0.9986068995445841
n71434	0.00011631278460534033	0.9998836872153947
65178	0.0	1.0
54225	0.0	1.0
26849	0.0	1.0
1373	0.0	1.0
76654	0.0	1.0
n71461	1.276416595085102e-07	0.9999998723583404
n71465	9.753362851057546e-05	0.9999024663714895
6702	0.0	1.0
87671	0.0	1.0
33568	0.0	1.0
22907	0.0	1.0
n71480	1.52554497631609e-08	0.9999999847445503
54108	0.0	1.0
70432	0.0	1.0
29587	0.0	1.0
28338	0.0	1.0
n71490	0.0006845026234287046	0.9993154973765713
n71504	2.2497538384009724e-08	0.9999999775024616
70280	0.0	1.0
n71518	1.0680116357874703e-07	0.9999998931988364
n71521	1.1430399041029142e-07	0.9999998856960096
70325	0.0	1.0
37362	0.0	1.0
38976	0.0	1.0
58645	0.0	1.0
43714	0.0	1.0
75027	0.0	1.0
72914	0.0	1.0
n71547	5.5879334219053805e-05	0.999944120665781
n71556	6.243470687796199e-14	0.9999999999999375
38949	0.0	1.0
n71590	3.805312073474817e-07	0.9999996194687926
72111	0.0	1.0
36232	0.0	1.0
n71608	6.454551753768165e-06	0.9999935454482463
14750	0.0	1.0
39808	0.0	1.0
n71625	0.0015585927761412976	0.9984414072238587
n71634	0.0001366432540409168	0.999863356745959
n71637	6.097696967774434e-05	0.9999390230303222
8717	0.0	1.0
3197	0.0	1.0
n71651	0.0004183697512219854	0.9995816302487781
n71657	0.0007528233121751331	0.9992471766878249
n71661	0.000570128045208815	0.9994298719547912
n71664	1.898148062700108e-09	0.9999999981018519
4191	0.0	1.0
36972	0.0	1.0
55089	0.0	1.0
31828	0.0	1.0
n71671	0.0001056356786005612	0.9998943643213994
n71675	0.0002891711020460378	0.9997108288979539
6696	0.0	1.0
n71686	0.0006464295404829415	0.9993535704595171
n71689	0.00024201170198921105	0.9997579882980108
n71771	5.628227542993303e-07	0.9999994371772456
36076	0.0	1.0
23197	0.0	1.0
3648	0.0	1.0
60166	0.0	1.0
29012	0.0	1.0
21063	0.0	1.0
n71789	7.122670912697819e-05	0.9999287732908729
77146	0.0	1.0
n71798	5.049345020657112e-09	0.9999999949506551
78024	0.0	1.0
40621	0.0	1.0
11760	0.0	1.0
29706	0.0	1.0
n71069	0.0005594679659791407	0.9994405320340208
n71072	4.836864336238515e-12	0.9999999999951631
40734	0.0	1.0
n71112	4.041493880583377e-06	0.9999959585061194
61637	0.0	1.0
33070	0.0	1.0
n71174	0.0010454294251469487	0.9989545705748532
n71183	0.001988601457908567	0.9980113985420914
54602	0.0	1.0
n71197	2.379219327236796e-07	0.9999997620780673
n71207	0.00037827690458251147	0.9996217230954175
n71212	0.0017248247388798113	0.9982751752611202
n71313	0.00012464995334817585	0.9998753500466518
35779	0.0	1.0
40488	0.0	1.0
25826	0.0	1.0
45180	0.0	1.0
n71328	5.137227426417102e-07	0.9999994862772573
67504	0.0	1.0
17766	0.0	1.0
36349	0.0	1.0
n71340	0.00015085601319447375	0.9998491439868055
20965	0.0	1.0
n71350	6.373603938953061e-09	0.999999993626396
28822	0.0	1.0
41298	0.0	1.0
12672	0.0	1.0
n71367	4.887069281113913e-05	0.9999511293071889
n71382	1.463171686493935e-07	0.9999998536828314
n71405	0.0002113966301866548	0.9997886033698133
27323	0.0	1.0
76667	0.0	1.0
n71435	5.2491751719375484e-05	0.9999475082482806
n71440	0.0001827615870466334	0.9998172384129534
75944	0.0	1.0
8366	0.0	1.0
8856	0.0	1.0
n71467	0.0005283683684827654	0.9994716316315172
84228	0.0	1.0
14101	0.0	1.0
n71491	0.000684843914971658	0.9993151560850284
n71496	0.0012067175101805434	0.9987932824898194
n71505	2.5411288206111445e-07	0.9999997458871179
49308	0.0	1.0
57149	0.0	1.0
41522	0.0	1.0
34953	0.0	1.0
25412	0.0	1.0
34839	0.0	1.0
12664	0.0	1.0
n71550	0.0002607838429864633	0.9997392161570134
27063	0.0	1.0
79844	0.0	1.0
72392	0.0	1.0
n71560	8.71300872674633e-08	0.9999999128699126
86510	0.0	1.0
n71568	8.894326136031362e-05	0.9999110567386397
30079	0.0	1.0
n71582	0.000669464308386614	0.9993305356916135
72056	0.0	1.0
48107	0.0	1.0
24738	0.0	1.0
27723	0.0	1.0
n71592	3.576631877425503e-05	0.9999642336812258
n71601	1.3497641051925e-05	0.999986502358948
52203	0.0	1.0
n71610	0.00027412764457422395	0.9997258723554258
n71626	0.00025901550893144064	0.9997409844910685
344	0.0	1.0
11182	0.0	1.0
48788	0.0	1.0
68917	0.0	1.0
82179	0.0	1.0
56248	0.0	1.0
n71653	0.0010587443354281288	0.9989412556645719
70813	0.0	1.0
87830	0.0	1.0
15334	0.0	1.0
28598	0.0	1.0
3514	0.0	1.0
68396	0.0	1.0
58619	0.0	1.0
1744	0.0	1.0
42919	0.0	1.0
68718	0.0	1.0
n71676	6.197157090913876e-08	0.9999999380284291
87637	0.0	1.0
39409	0.0	1.0
28939	0.0	1.0
17516	0.0	1.0
n71691	2.0443576462770913e-07	0.9999997955642355
80280	0.0	1.0
n71773	4.269959678591771e-09	0.9999999957300404
n71790	0.0012277485614014085	0.9987722514385986
n71793	0.00024675952602611735	0.9997532404739738
n71799	5.162935918768566e-08	0.9999999483706409
46249	0.0	1.0
n71813	0.0011049707181939204	0.9988950292818061
n71822	1.90315220469833e-08	0.999999980968478
28342	0.0	1.0
4658	0.0	1.0
73943	0.0	1.0
1260	0.0	1.0
n71075	0.0015601505327131574	0.9984398494672868
n71078	9.34735536177855e-05	0.9999065264463822
