node	RT_T215D	RT_T215F	RT_T215S	RT_T215Y	sensitive
sensitive	0.0	0.0	0.0	0.0	1.0
n70854	0.00016889061741803355	0.0002818330166600019	0.024070451594221033	0.0009501355594539707	0.974528689212247
n70855	0.0008075182067725177	0.0013475307018344352	0.22645396227057335	0.004542891576161347	0.7668480972446584
n70959	0.00018760437254433836	0.0003130612408261118	0.010497061125823638	0.0010554143752238613	0.9879468588855821
19213	0.0	0.0	0.0	0.0	1.0
n70857	0.0009424195461171152	0.0015726447549428875	0.3861007771218053	0.005301812121830351	0.6060823464553045
56083	0.0	0.0	0.0	0.0	1.0
n70961	5.397707899277639e-05	9.007322748649652e-05	0.0014063024241810138	0.00030366128640261977	0.998145985982937
74507	0.0028838070443440336	0.004812298345509275	0.20594899006579118	0.01622356328210422	0.7701313412622514
n70859	2.5148343344303794e-06	4.196582129357428e-06	0.9696953192623184	1.4147816875841011e-05	0.030283821504341914
n70962	6.177474679567456e-05	0.00010308543783542205	0.001198952145092904	0.00034752897765514624	0.9982886586926207
n70984	1.6992089591405085e-05	2.8355227437231028e-05	8.736704927364954e-05	9.559316436306532e-05	0.9997716924693347
n70860	9.12353831442295e-06	1.5224731634454743e-05	0.9659507600265145	5.132670075518584e-05	0.03397356500278149
38019	0.0	0.0	0.0	0.0	1.0
n70879	2.515174170326551e-06	4.197149224067907e-06	0.9697043650351989	1.414972870596081e-05	0.030274772912700754
n70963	6.18381903038981e-05	0.00010319130798726049	0.0011988909934272582	0.0003478858946591885	0.9982881936136223
n70966	5.424661289164436e-05	9.05230070714812e-05	0.00010840179540604876	0.00030517761540720177	0.9994416509692235
n70985	4.698865145913697e-06	7.84114214985393e-06	4.781211503050831e-06	2.6434617461080842e-05	0.9999562441637401
n71048	7.107532180000505e-07	1.1860559609060282e-06	2.677752146764174e-06	3.99851641696989e-06	0.9999914269222574
43731	0.0	0.0	1.0	0.0	0.0
n70862	2.4142737189219625e-08	4.028773508255794e-08	0.012652202880537632	1.3582088488226487e-07	0.9873475968681051
45251	0.0	0.0	0.0	0.0	1.0
n70881	2.277278970172076e-07	3.800166117880761e-07	0.9993026101344465	1.281139095490199e-06	0.0006955009819491252
39652	0.0	0.0	0.0	0.0	1.0
53580	0.0	0.0	0.0	0.0	1.0
n70967	3.0952093554471545e-10	5.165071945238724e-10	4.1757456025813353e-10	1.741285879301268e-09	0.9999999970151114
59805	0.0	0.0	0.0	0.0	1.0
n70986	3.814964788999298e-06	6.366150182719121e-06	3.668345238648956e-06	2.1462019379804875e-05	0.9999646885204099
n70994	4.042188397310853e-05	6.745325272287943e-05	3.832548554807293e-05	0.00022740321475591977	0.999626396163
n71045	3.5768334702100745e-05	5.968773058035669e-05	3.38087234432413e-05	0.0002012235328549909	0.9996695116784193
n71049	2.1968459694675068e-07	3.6659450724838415e-07	6.490833023418386e-07	1.2358895397177556e-06	0.9999975287480537
n71242	1.6686970872995726e-05	2.784606635911207e-05	1.611543824365377e-05	9.387664423514022e-05	0.9998454748802891
153	0.0	0.0	0.0	0.0	1.0
n70864	3.4355701390153707e-09	5.73304255161268e-09	4.131964270051639e-07	1.9327641795500827e-08	0.9999995583073186
n70867	1.572482517265885e-23	2.6240503958204897e-23	1.0	8.846385779832402e-23	8.995784339479787e-21
49455	0.0	0.0	1.0	0.0	0.0
n70883	5.849854512728246e-27	9.761833839848859e-27	1.0	3.290979022486477e-26	1.861094914342073e-24
71762	0.0	0.0	0.0	0.0	1.0
49347	0.0	0.0	0.0	0.0	1.0
n70970	1.1707258541871859e-06	1.9536265792122163e-06	1.105778199060748e-06	6.586205210453549e-06	0.9999891836641571
n70980	2.460324418500254e-05	4.105619740331132e-05	2.323682955881982e-05	0.00013841157984661372	0.9997726921490063
n70987	1.2316912440157089e-06	2.055361417949273e-06	1.1693595620660142e-06	6.929180952135383e-06	0.9999886144068237
n70991	4.322991926786614e-05	7.213910839744572e-05	4.0835130304080044e-05	0.0002432005054908291	0.9996005953365398
19325	0.0	0.0	0.0	0.0	1.0
n70996	2.4204412233495564e-15	4.039065414370332e-15	2.2866487813071516e-15	1.3616785295896045e-14	0.9999999999999776
1030	0.0	0.0	0.0	0.0	1.0
67303	0.0	0.0	0.0	0.0	1.0
n71050	2.2167017266610919e-07	3.6990789909541944e-07	6.497241548853553e-07	1.2470598825455121e-06	0.9999975116378909
n71226	1.0778741024234991e-05	1.7986819783706352e-05	1.0225627501019097e-05	6.063844925098518e-05	0.9999003703624402
n71243	2.6653007661594812e-05	4.447670135361431e-05	2.5241521946561022e-05	0.0001499430266336178	0.9997536857424045
n71274	1.3804781766375806e-08	2.303646791651348e-08	1.3061006444142904e-08	7.766218305822196e-08	0.9999998724355608
56404	0.0	0.0	0.0	0.0	1.0
82523	0.0	0.0	0.0	0.0	1.0
64725	0.0	0.0	1.0	0.0	0.0
79525	0.0	0.0	1.0	0.0	0.0
44425	0.0	0.0	1.0	0.0	0.0
